sensitive_attribute,group,n,base_rate_at_risk,recall,precision
age_band,0-35,317,0.3659305993690852,0.75,0.7372881355932204
age_band,35-55,192,0.328125,0.8412698412698413,0.7066666666666667
age_band,55<=,51,0.2549019607843137,0.7692307692307693,0.5882352941176471
disability,N,505,0.33861386138613864,0.7777777777777778,0.7112299465240641
disability,Y,55,0.38181818181818183,0.8095238095238095,0.7391304347826086
gender,F,282,0.32978723404255317,0.7634408602150538,0.6574074074074074
gender,M,278,0.35611510791366907,0.797979797979798,0.7745098039215687
region,East Anglian Region,82,0.2682926829268293,0.7727272727272727,0.5666666666666667
region,East Midlands Region,77,0.42857142857142855,0.7878787878787878,0.9285714285714286
region,London Region,63,0.36507936507936506,0.8695652173913043,0.7142857142857143
region,North Western Region,75,0.36,0.7777777777777778,0.7777777777777778
region,Scotland,41,0.34146341463414637,0.7142857142857143,0.5882352941176471
region,South Region,73,0.3287671232876712,0.6666666666666666,0.6666666666666666
region,Wales,71,0.29577464788732394,0.9047619047619048,0.7307692307692307
region,West Midlands Region,78,0.358974358974359,0.75,0.7
